path,bytes
submission/task291.py,      69
submission/task292.py,      61
submission/task293.py,      73
submission/task294.py,     109
submission/task295.py,      68
submission/task296.py,      71
submission/task297.py,      43
submission/task298.py,      72
submission/task299.py,      68
submission/task300.py,     104
submission/task301.py,      31
submission/task302.py,     148
submission/task303.py,      67
submission/task304.py,     107
submission/task305.py,      64
submission/task306.py,     109
submission/task307.py,      60
submission/task308.py,     231
submission/task309.py,      38
submission/task310.py,      97
submission/task311.py,      32
submission/task312.py,      45
submission/task313.py,      70
submission/task314.py,     102
submission/task315.py,      64
submission/task316.py,      75
submission/task317.py,      67
submission/task318.py,      58
submission/task319.py,     322
submission/task320.py,      80
submission/task321.py,      64
submission/task322.py,      50
submission/task323.py,     132
submission/task324.py,     291
submission/task325.py,     210
submission/task326.py,      30
submission/task327.py,      67
submission/task328.py,     173
submission/task329.py,      54
submission/task330.py,     204
submission/task331.py,      83
submission/task332.py,      70
submission/task333.py,     112
submission/task334.py,      88
submission/task335.py,     125
submission/task336.py,     221
submission/task337.py,      51
submission/task338.py,     135
submission/task339.py,      37
submission/task340.py,     166
submission/task341.py,     214
submission/task342.py,     137
submission/task343.py,      65
submission/task344.py,      77
submission/task345.py,     124
submission/task346.py,     101
submission/task347.py,      54
submission/task348.py,     110
submission/task349.py,     200
submission/task350.py,     101
submission/task351.py,      67
submission/task352.py,     109
submission/task353.py,     127
submission/task354.py,     159
submission/task355.py,     101
submission/task356.py,     105
submission/task357.py,     103
submission/task358.py,     114
submission/task359.py,      64
submission/task360.py,      48
submission/task361.py,     218
submission/task362.py,      91
submission/task363.py,     262
submission/task364.py,     236
submission/task365.py,     163
submission/task366.py,     370
submission/task367.py,     217
submission/task368.py,     184
submission/task369.py,     193
submission/task370.py,     276
submission/task371.py,     116
submission/task372.py,      53
submission/task373.py,      39
submission/task374.py,     222
submission/task375.py,      57
submission/task376.py,      33
submission/task377.py,      73
submission/task378.py,     208
submission/task379.py,     177
submission/task380.py,      27
submission/task381.py,      89
submission/task382.py,     208
submission/task383.py,     198
submission/task384.py,      87
submission/task385.py,      25
submission/task386.py,      56
submission/task387.py,     270
submission/task388.py,      62
submission/task389.py,      58
submission/task390.py,     140
submission/task391.py,      64
submission/task392.py,     161
submission/task393.py,      64
submission/task394.py,      92
submission/task395.py,      63
submission/task396.py,     244
submission/task397.py,     150
submission/task398.py,      82
submission/task399.py,      66
submission/task400.py,      67
