path,bytes
submission2/task267.py,      51
submission2/task268.py,     322
submission2/task269.py,      82
submission2/task270.py,     178
submission2/task271.py,     101
submission2/task272.py,     120
submission2/task273.py,     159
submission2/task274.py,      82
submission2/task275.py,     151
submission2/task276.py,      38
submission2/task277.py,     233
submission2/task278.py,     219
submission2/task279.py,     235
submission2/task280.py,     235
submission2/task281.py,     203
submission2/task282.py,     109
submission2/task283.py,     127
submission2/task284.py,     251
submission2/task285.py,     324
submission2/task286.py,     205
submission2/task287.py,      74
submission2/task288.py,     112
submission2/task289.py,      84
submission2/task290.py,      70
submission2/task291.py,      69
submission2/task292.py,      61
submission2/task293.py,      73
submission2/task294.py,     109
submission2/task295.py,      68
submission2/task296.py,      71
submission2/task297.py,      43
submission2/task298.py,      72
submission2/task299.py,      68
submission2/task300.py,     104
submission2/task301.py,      31
submission2/task302.py,     148
submission2/task303.py,      67
submission2/task304.py,     107
submission2/task305.py,      64
submission2/task306.py,     109
submission2/task307.py,      60
submission2/task308.py,     231
submission2/task309.py,      38
submission2/task310.py,      97
submission2/task311.py,      32
submission2/task312.py,      45
submission2/task313.py,      81
submission2/task314.py,     102
submission2/task315.py,      64
submission2/task316.py,      75
submission2/task317.py,      67
submission2/task318.py,      58
submission2/task319.py,     333
submission2/task320.py,      84
submission2/task321.py,      64
submission2/task322.py,      50
submission2/task323.py,     132
submission2/task324.py,     294
submission2/task325.py,     216
submission2/task326.py,      30
submission2/task327.py,      69
submission2/task328.py,     173
submission2/task329.py,      54
submission2/task330.py,     204
submission2/task331.py,     124
submission2/task332.py,      70
submission2/task333.py,     141
submission2/task334.py,      88
submission2/task335.py,     154
submission2/task336.py,     221
submission2/task337.py,      51
submission2/task338.py,     135
submission2/task339.py,      37
submission2/task340.py,     189
submission2/task341.py,     214
submission2/task342.py,     137
submission2/task343.py,      65
submission2/task344.py,      77
submission2/task345.py,     124
submission2/task346.py,     101
submission2/task347.py,      54
submission2/task348.py,     110
submission2/task349.py,     200
submission2/task350.py,     111
submission2/task351.py,      67
submission2/task352.py,     109
submission2/task353.py,     127
submission2/task354.py,     159
submission2/task355.py,     101
submission2/task356.py,     105
submission2/task357.py,     103
submission2/task358.py,     114
submission2/task359.py,      64
submission2/task360.py,      48
submission2/task361.py,     221
submission2/task362.py,      94
submission2/task363.py,     274
submission2/task364.py,     261
submission2/task365.py,     163
submission2/task366.py,     374
submission2/task367.py,     217
submission2/task368.py,     184
submission2/task369.py,     196
submission2/task370.py,     299
submission2/task371.py,     116
submission2/task372.py,      53
submission2/task373.py,      39
submission2/task374.py,     222
submission2/task375.py,      57
submission2/task376.py,      33
submission2/task377.py,      73
submission2/task378.py,     208
submission2/task379.py,     256
submission2/task380.py,      27
submission2/task381.py,      89
submission2/task382.py,     211
submission2/task383.py,     210
submission2/task384.py,      87
submission2/task385.py,      25
submission2/task386.py,      56
submission2/task387.py,     284
submission2/task388.py,      62
submission2/task389.py,      58
submission2/task390.py,     190
submission2/task391.py,      64
submission2/task392.py,     161
submission2/task393.py,      64
submission2/task394.py,     111
submission2/task395.py,      63
submission2/task396.py,     247
submission2/task397.py,     150
submission2/task398.py,      82
submission2/task399.py,      66
submission2/task400.py,      67
